✅ Финальный список тематических кластеров (пересечения LDA и KMeans + выделенные кластеры)

Topic ID            | Overlap | Ключевые слова (сокращённо)     | Метка
---------------------|---------|----------------------------------|--------------------------------------------------------------
LDA 0 + KMeans 3    | 9       | 护法, 修真界, 本尊, 三界, 掌门... | Фэнтези-культы и мастера трёх миров
LDA 1 + KMeans 2    | 6       | 灵力, 仙君, 宗师, 掌门, 死生...   | Боевые культисты и бессмертные
LDA 2 + KMeans 10   | 13      | 序列, 吊人, 天使, 造物主, 占卜... | Мистицизм, последовательности и фракции
LDA 3 + KMeans 12   | 8       | 宫主, 苍穹, 魔族, 灵兽, 阴间...   | Темное фэнтези: кланы и магия
LDA 6 + KMeans 4    | 12      | 信徒, 神官, 修行者, 僧人, 国师... | Религия и последователи
LDA 7 + KMeans 11   | 13      | 玩家, 战术, 粉丝, 法师, 团队...   | Игровой мир и фан-культура
LDA 8 + KMeans 1    | 6       | 刑警, 屏幕, 警察, 顾问, 司机...   | Современные расследования
LDA 9 + KMeans 6    | 9       | 本宫, 嬷嬷, 摄政王, 奴家, 世子... | Императорский двор и драмы
KMeans 5 (only)     | 15      | 八荒, 小仙, 神君, 老君, 女妖...   | Бессмертные и мир духов
KMeans 7 (only)     | 15      | 臣妾, 嬷嬷, 本宫, 太妃, 嫔妃...   | Императорский гарем и придворные интриги
KMeans 8 (only)     | 15      | 律师, 教室, 视频, 实习生, 海螺... | Современный быт и профессиональный мир
KMeans 9 (only)     | 15      | 戏子, 判官, 妖族, 魔剑, 饿死鬼... | Фэнтезийный театр и демонический фольклор
